text	label
Government announces new policy to support genetic science.	1
Technology company releases innovation related to artificial intelligence.	1
Technology company releases innovation related to digital economy.	1
NASA secretly admits that environment is controlled by aliens.	0
New economic plan introduced to strengthen global economy.	1
Scientists confirm that environment can make humans immortal.	0
New infrastructure project launched to improve satellite technology.	1
Miracle cure using agriculture can heal every disease instantly.	0
Time travel machine powered by public health discovered.	0
Technology company releases innovation related to public health.	1
Hidden civilization discovered under ocean research.	0
Government announces new policy to support cyber security.	1
Experts discuss future development of education.	1
Miracle cure using renewable energy can heal every disease instantly.	0
Secret government experiment turns public health into unlimited energy.	0
Experts discuss future development of digital economy.	1
Miracle cure using smart cities can heal every disease instantly.	0
Hidden civilization discovered under smart cities.	0
New economic plan introduced to strengthen education.	1
Ancient magic crystal found that controls education.	0
Scientists confirm that ocean research can make humans immortal.	0
Government announces new policy to support environment.	1
Miracle cure using genetic science can heal every disease instantly.	0
University study reveals important results about satellite technology.	1
International organization reports progress in agriculture.	1
New economic plan introduced to strengthen healthcare.	1
Miracle cure using cyber security can heal every disease instantly.	0
Scientists confirm that ocean research can make humans immortal.	0
Time travel machine powered by public health discovered.	0
Government announces new policy to support environment.	1
New infrastructure project launched to improve agriculture.	1
Researchers develop new technology to improve global economy.	1
Health officials announce program to address artificial intelligence.	1
Experts discuss future development of environment.	1
NASA secretly admits that climate change is controlled by aliens.	0
Health officials announce program to address public health.	1
Government announces new policy to support education.	1
Secret government experiment turns satellite technology into unlimited energy.	0
Aliens discovered living inside genetic science.	0
New infrastructure project launched to improve space exploration.	1
Aliens discovered living inside cyber security.	0
Ancient magic crystal found that controls quantum computing.	0
Ancient magic crystal found that controls healthcare.	0
Time travel machine powered by agriculture discovered.	0
New infrastructure project launched to improve digital economy.	1
Secret government experiment turns satellite technology into unlimited energy.	0
Researchers prove that drinking digital economy gives superpowers.	0
NASA secretly admits that space exploration is controlled by aliens.	0
Hidden civilization discovered under public health.	0
Aliens discovered living inside climate change.	0
Technology company releases innovation related to transportation.	1
NASA secretly admits that education is controlled by aliens.	0
Ancient magic crystal found that controls global economy.	0
Experts discuss future development of ocean research.	1
Ancient magic crystal found that controls robotics.	0
University study reveals important results about space exploration.	1
Hidden civilization discovered under ocean research.	0
